Filename,Execution Time (seconds)
CBS_k3_n100_m449_b90_185.cnf,0.280224
CBS_k3_n100_m449_b90_194.cnf,1.636095
CBS_k3_n100_m449_b90_75.cnf,0.150058
CBS_k3_n100_m449_b90_197.cnf,0.350190
CBS_k3_n100_m449_b90_325.cnf,0.898157
CBS_k3_n100_m449_b90_961.cnf,0.466558
CBS_k3_n100_m449_b90_912.cnf,0.034262
CBS_k3_n100_m449_b90_51.cnf,0.418734
CBS_k3_n100_m449_b90_605.cnf,0.549685
CBS_k3_n100_m449_b90_291.cnf,1.031533
CBS_k3_n100_m449_b90_134.cnf,0.009861
CBS_k3_n100_m449_b90_748.cnf,0.218279
CBS_k3_n100_m449_b90_345.cnf,0.754299
CBS_k3_n100_m449_b90_590.cnf,2.795050
CBS_k3_n100_m449_b90_608.cnf,1.695364
CBS_k3_n100_m449_b90_452.cnf,0.238591
CBS_k3_n100_m449_b90_298.cnf,0.065529
CBS_k3_n100_m449_b90_394.cnf,5.256718
CBS_k3_n100_m449_b90_0.cnf,0.015506
CBS_k3_n100_m449_b90_257.cnf,2.222935
CBS_k3_n100_m449_b90_167.cnf,0.020170
CBS_k3_n100_m449_b90_213.cnf,0.094227
CBS_k3_n100_m449_b90_284.cnf,4.186839
CBS_k3_n100_m449_b90_676.cnf,0.240140
CBS_k3_n100_m449_b90_115.cnf,0.710252
CBS_k3_n100_m449_b90_610.cnf,0.099560
CBS_k3_n100_m449_b90_435.cnf,0.289305
CBS_k3_n100_m449_b90_218.cnf,0.213113
CBS_k3_n100_m449_b90_347.cnf,0.680111
CBS_k3_n100_m449_b90_623.cnf,1.732434
CBS_k3_n100_m449_b90_754.cnf,0.633361
CBS_k3_n100_m449_b90_841.cnf,0.143366
CBS_k3_n100_m449_b90_102.cnf,2.201472
CBS_k3_n100_m449_b90_521.cnf,11.775313
CBS_k3_n100_m449_b90_566.cnf,0.231801
CBS_k3_n100_m449_b90_223.cnf,2.125851
CBS_k3_n100_m449_b90_237.cnf,0.604532
CBS_k3_n100_m449_b90_87.cnf,3.063076
